step,total_reward,format,verdict,mutation_type,mutation_point,provenance,source_reliability,hallucination_penalty,brier_penalty,missing_fields,missing_keys,partial_credit,parse_error,completion_preview
411,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
412,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""mutation_position"",   ""mutation_doc_"
413,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figure.distortion"",   ""mutation_pos"
414,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
415,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figure_distortion"",   ""mutation_pos"
416,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
417,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
418,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
419,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""verbal_shift"",   ""mutation_position"
420,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""uncertainty_shift"",   ""mutation_pos"
421,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
422,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figure distortion"",   ""mutation_ope"
423,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_type"": ""verbal_shift"",   ""mutation_point"": 35,   ""mutation_operati"
424,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""contract_type"",   ""mutation_operati"
425,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""verbal_shift"",   ""mutation_operatio"
426,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""key_word_insertion"",   ""mutation_op"
427,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""mutation"",   ""mutation_doc_id"": ""DOC"
428,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
429,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""verbal_shift"",   ""mutation_operatio"
430,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
431,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
432,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""verbal_shift"",   ""mutation_operatio"
433,-0.06,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'confidence'}",0.04,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figures Distortion"",   ""mutation_op"
434,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""verdict"": ""unverifiable"",   ""mutation_point"": null,   ""mutation_type"": ""non"
435,-0.06,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'confidence'}",0.04,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
436,-0.06,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'confidence'}",0.04,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
437,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
438,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 1,   ""mutation_type"": ""distorted_numeric_value"",   ""mutati"
439,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""verbal_shift"",   ""mutation_operatio"
440,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 1,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
441,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""factualmutation"",   ""mutation_opera"
442,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
443,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
444,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
445,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
446,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""quantitative distortion"",   ""mutati"
447,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figures distortion"",   ""mutation_op"
448,-0.06,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'confidence'}",0.04,,"{   ""mutation_point"": 2,   ""mutation_type"": ""rounding"",   ""mutation_operation"": "
449,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
450,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""missed_word"",   ""mutation_operation"
451,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""distorted_report"",   ""mutation_oper"
452,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""distorted_probability"",   ""mutation"
453,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
454,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
455,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""repetition"",   ""mutationOperation"":"
456,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 5,   ""mutation_type"": ""distorted_number"",   ""mutation_oper"
457,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""improvement_twice"",   ""mutation_ope"
458,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""distorted_number"",   ""mutation_oper"
459,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""distorted_report"",   ""mutation_oper"
460,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": "" omission"",   ""mutation_operation"":"
461,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
462,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""quantitative distortion"",   ""mutati"
463,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
464,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
465,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""distorted_operation"",   ""mutation_o"
466,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""mutation_type"": "" distortion"",   ""mutation_operation"
467,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
468,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
469,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
470,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""addition"",   ""mutation_operation"": "
471,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
472,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": "" fabrication"",   ""mutation_operatio"
473,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
474,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
475,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
476,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""substitution"",   ""mutation_operatio"
477,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""addition"",   ""mutation_operation"": "
478,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""mutation"",   ""mutation_operation"": "
479,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""fabrication"",   ""mutation_operation"
480,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
481,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""mutation_type"": ""capacity subtraction"",   ""mutation_"
482,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""quantitative distortion"",   ""mutati"
483,-0.1,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_type', 'mutation_doc_id', 'confidence'}",0.0,,"{   ""mutation"": ""KRAS G12C"",   ""distorted_operation"": ""changed"",   ""distorted_va"
484,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""SNP"",   ""mutation_position"": "" chr1"
485,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
486,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
487,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": "" distortion"",   ""mutation_operation"
488,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": ""breakpoint"",   ""mutation_type"": ""magnitude distortion"",  "
489,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": "" exaggerated_result "",   ""mutation_"
490,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
491,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_point"": ""DOC-0003"",   ""mutation_type"": ""dist"
492,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 2,   ""mutation_type"": ""missed_key_word"",   ""mutation_opera"
493,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""percentages"",   ""mutation_operation"
494,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 1,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
495,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""accuracy distortion"",   ""mutation_o"
496,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
497,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
498,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
499,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
500,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
501,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 1,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
502,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": "" Financial distortion"",   ""mutation"
503,-0.06,-0.05,,,,,,,,1.0,"{'mutation_doc_id', 'mutation_type'}",0.04,,"{   ""verdict"": ""true"",   ""confidence"": 0.85,   ""mutation_point"": null }"
504,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
505,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
506,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation"": ""KRAS G12C"",   ""mutation_type"": ""point mutation"",   ""mutation_po"
507,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_type"": ""amount distortion"",   ""mutation_ope"
508,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
509,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
510,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""magnitude distortion"",   ""mutation_"
511,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
512,-0.03,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.07,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
513,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
514,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
515,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
516,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
517,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
518,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
519,-0.08,-0.05,,,,,,,,1.0,"{'verdict', 'mutation_doc_id', 'confidence'}",0.02,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
520,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""key_word distortion"",   ""mutation_o"
521,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
522,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 4,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
523,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
524,0.7907,0.05,0.3,0.0,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
525,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
526,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 2,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
527,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
528,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 5966,   ""mutation_type"": ""omission"",   ""mutation_operation"
529,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
530,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
531,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
532,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
533,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
534,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
535,0.9998,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0002,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
536,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""fabricated_settlement_amount"",   ""m"
537,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 1,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
538,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
539,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
540,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
541,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omitted_word"",   ""mutation_operatio"
542,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""verdict"": ""untrue"",   ""mutation_point"": ""DOC-CD87"",   ""mutation_type"": ""omi"
543,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
544,0.26,0.05,0.0,0.0,0.0,0.18,0.11,-0.0,-0.08,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""omission"",   ""mutation_doc_id"": ""DOC"
545,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
546,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""omission"",   ""mutation_doc_id"": ""DOC"
547,-0.15,-0.15,,,,,,,,,,,1.0,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
548,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
549,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 1,   ""mutation_type"": ""omission"",   ""mutation_operation"": "
550,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
551,1.0,0.05,0.3,0.18,0.18,0.18,0.11,-0.0,-0.0,,,,,"{   ""verdict"": ""true"",   ""mutation_type"": ""none"",   ""mutation_doc_id"": null,   """
552,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""extraction"",   ""offset"": 1107,   ""c"
553,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""position"": ""68-74"",  "
554,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
555,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omitted_word"",   ""mutation_position"
556,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""position"": ""cost impa"
557,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""distortion"",   ""mutation_doc_id"": ""D"
558,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omitted_word"",   ""position"": ""66"", "
559,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""position"": ""probabili"
560,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omitted_word"",   ""mutation_position"
561,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""positions_mutated"": ["
562,-0.04,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.06,,"{   ""mutation_point"": 3,   ""mutation_type"": ""figure distortion"",   ""position"": """
563,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""position"": ""title"",  "
564,0.9707,0.05,0.3,0.18,0.18,0.18,0.0825,-0.0,-0.0018,,,,,"{   ""verdict"": ""false"",   ""mutation_type"": ""omission"",   ""mutation_doc_id"": ""DOC"
565,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 3,   ""mutation_type"": ""omission"",   ""position"": ""year"",   "
566,0.01,-0.05,,,,,,,,1.0,{'mutation_doc_id'},0.11,,"{   ""mutation_point"": 1,   ""mutation_type"": ""omission"",   ""position"": ""immediate"
